project,site1,site2,replicate,matrix,Type,Collected_Date,Filtered_Date
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-20,2021-10-20
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-20,2021-10-20
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-20,2021-10-20
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-20,2021-10-20
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-20,2021-10-20
DAR,Hawaii,Maui,NA,Water,Trip Blank,2021-10-20,2021-10-20
DAR,Hawaii,Maui,NA,Water,Trip Blank,2021-10-20,2021-10-20
DAR,Hawaii,Maui,NA,Water,Trip Blank,2021-10-20,2021-10-20
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Sample,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Trip Blank,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Trip Blank,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Trip Blank,2021-10-21,2021-10-21
DAR,Hawaii,Maui,NA,Water,Trip Blank,2021-10-21,2021-10-21
DAR,Hawaii,Oahu,NA,Water,Trip Blank,2021-11-12,2021-11-12
DAR,Hawaii,Oahu,NA,Water,Sample,2021-11-12,2021-11-12
DAR,Hawaii,Oahu,NA,Water,Sample,2021-11-12,2021-11-12
DAR,Hawaii,Oahu,NA,Water,Sample,2021-11-12,2021-11-12
DAR,Hawaii,Oahu,NA,Water,Sample,2021-11-12,2021-11-12
DAR,Hawaii,Oahu,NA,Water,Sample,2021-11-12,2021-11-12
DAR,Hawaii,Oahu,NA,Water,Sample,2021-11-12,2021-11-12
DAR,Hawaii,Oahu,NA,Water,Sample,2021-11-12,2021-11-12
DAR,Hawaii,Oahu,NA,Water,Sample,2021-11-12,2021-11-12
DAR,Hawaii,Oahu,NA,Water,Sample,2021-11-12,2021-11-12
DAR,Hawaii,Oahu,NA,Water,Sample,2021-11-12,2021-11-12
DAR,Hawaii,Oahu,NA,Water,Sample,2021-11-12,2021-11-12
DAR,Hawaii,Oahu,NA,Water,Sample,2021-11-12,2021-11-12
DAR,Hawaii,Oahu,NA,Water,Sample,2021-11-12,2021-11-12
DAR,Hawaii,Oahu,NA,Water,Sample,2021-11-12,2021-11-12
DAR,Hawaii,Oahu,NA,Water,Sample,2021-11-12,2021-11-12
DAR,Hawaii,Oahu,NA,Water,Sample,2021-11-12,2021-11-12
DAR,Hawaii,Oahu,NA,Water,Trip Blank,2021-11-12,2021-11-12
DAR,Hawaii,Oahu,NA,Water,Trip Blank,2021-11-12,2021-11-12
DAR,Hawaii,Maui,NA,Water,Trip Blank,2021-11-19,2021-11-19
